Name,SCCS,Coder,ID1.1Over,ID1.2Ethno,Int2.1Mar,Int2.2Econ,Int2.3Pol,Int2.4Hist,Dep3.1Sec,Dep3.2Ecol,Dep3.3Econ,NWVal4.1,WVal4.2,NWNorm5.1,WNorm5.2,MythsP6,MythsWar6,RitP6,RitWar6,SymP6,SymWar6,SuperOrd7,CM8.1Neg,CM8.2Med,CM8.3Arb,CM8.4Adj,CM8.5Peace,CM8.6War,Lead9.1P,Lead9.2War,Cult10.1Com,Cult10.2Diff,Comp10.3,InComp10.4,PSys,PSysRec,ID1.1Over_1,ID1.2Ethno_1,Int2.1Mar_1,Int2.2Econ_1,Int2.3Pol_1,Int2.4Hist_1,Dep3.1Sec_1,Dep3.2Ecol_1,Dep3.3Econ_1,NWVal4.1_1,WVal4.2_1,NWNorm5.1_1,WNorm5.2_1,MythsP6_1,MythsWar6_1,RitP6_1,RitWar6_1,SymP6_1,SymWar6_1,SuperOrd7_1,CM8.1Neg_1,CM8.2Med_1,CM8.3Arb_1,CM8.4Adj_1,CM8.5Peace_1,CM8.6War_1,Lead9.1P_1,Lead9.2War_1,COMinter,COMdep,COMnvvn,COMmrs,COMcm,COMwvn,COMwmrs,COMinterM,COMdepM,COMnvvnM,COMmrsM,COMcmM,COMwvnM,COMwmrsM
Gilbertese,107,KA,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2,3,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,3.171875,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.82218070652174,2.5632183908046,3.12760416666667,2.67070127939693,2.62770676691729,2.60775089605735,2.36306818181818
Marshallese,108,EC,1,9,9,1,9,9,9,9,3,4,3,9,9,9,9,2,9,2,2,9,2,9,9,9,9,2,9,4,9,9,9,9,2,0,1,2.6,2.42857142857143,1,2.39130434782609,2.91304347826087,2.5,2.5,3,4,3,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2,2.54545454545455,2,2,2.625,2,2.875,2.14285714285714,2.17857142857143,3.1,2,2.76470588235294,4, , , , , , , ,2.1832298136646,2.66666666666667,3.54166666666667,2.17460317460317,2.45928571428571,2.7258064516129,2.25473484848485
E. Pomo,135,"KA, EC",9,9,9,9,9,9,1,1,1,2.5,3,9,2,9,9,9,4,9,2.5,9,3,9,1,9,9,9,2,9,9,9,9,9,2,0,2.53225806451613,2.6,2.42857142857143,2.984375,2.39130434782609,2.91304347826087,1,1,1,2.5,3,3.08333333333333,2,2.52380952380952,2.21875,2.56521739130435,4,2.92307692307692,2.5,2.625,3,2.875,1,2.17857142857143,3.1,1.5,2,2.9375, ,1, , , ,2.5, ,2.6793235636646,1,2.79166666666667,2.67070127939693,2.43071428571429,2.5,2.90625
Popoluca,154,KA,9,3,9,3,9,9,9,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,3,2.42857142857143,3,2.39130434782609,2.91304347826087,2.5,3,3,3,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.6832298136646,2.83333333333333,3.04166666666667,2.67070127939693,2.62770676691729,2.60775089605735,2.36306818181818
Konso,35,KA,9,2,3,4,9,4,9,2,3,3,3,9,4,9,9,9,9,3,3,9,9,9,9,9,9,9,9,9,3,9,3,3,2,0,2.53225806451613,2,3,4,2.39130434782609,4,2.5,2,3,3,3,3.08333333333333,4,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,3,3,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , ,3.5, ,3.34782608695652,2.5,3.04166666666667,2.69634230503796,2.62770676691729,3.5,2.58806818181818
Bribri,157,DG,9,2,2,9,9,9,9,9,9,2,3,2,3,9,9,9,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2,2,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,2,3,2,3,2.52380952380952,2.21875,2.56521739130435,2,2.92307692307692,2,2,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , ,2, , ,3, ,2.57218070652174,2.5632183908046,2,2.67070127939693,2.62770676691729,3,2.07291666666667
Tallensi,23,DG,1,2,4,9,1,3,3,9,2,4,2,3,9,3,9,9,9,9,9,1,9,2,9,2,2,9,9,9,4,1,3,9,2,0,1,2,4,2.984375,1,3,3,2.5,2,4,2,3,2.45161290322581,3,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,1,2.84210526315789,2,2.14285714285714,2,2,1.5,2.76470588235294,2.9375, , ,3.5, , , , ,2.74609375,2.5,3.5,2.82943143812709,2.19699248120301,2.2258064516129,2.36306818181818
Russians,54,DG,4,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,2,2,1,1,9,2,9,9,9,2,0,4,2.6,1,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,3.171875,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2,2.84210526315789,2.875,2.14285714285714,2,2,1,1,2.9375, , , , , , , ,2.32218070652174,2.5632183908046,3.12760416666667,2.67070127939693,2.37199248120301,2.60775089605735,2.36306818181818
Trukese,109,DG,3,9,4,4,3,9,3,9,3,3,9,3,3,2,9,2,9,9,9,3,9,3,9,4,9,9,9,9,9,9,9,9,2,0,3,2.6,4,4,3,2.91304347826087,3,2.5,3,3,2.76388888888889,3,3,2,2.21875,2,2.54545454545455,2.92307692307692,2.325,3,2.84210526315789,3,2.14285714285714,4,3.1,1.5,2.76470588235294,2.9375, , ,3, , , , ,3.47826086956522,2.83333333333333,3,2.30769230769231,3.01699248120301,2.88194444444444,2.36306818181818
Toraja,87,DG,1,9,1,1,9,9,1,9,1,9,3,1,3,1,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,0,1,2.6,1,1,2.39130434782609,2.91304347826087,1,2.5,1,3.171875,3,1,3,1,2.21875,1,2.54545454545455,2.92307692307692,2.325,1,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , ,3, ,1.82608695652174,1.5,2.0859375,1.64102564102564,2.62770676691729,3,2.36306818181818
Pawnee,142,KA,3,3,9,3,9,3,4,9,9,4,3,9,9,3,3,2,3,2,2,9,9,9,9,9,9,9,9,9,3,9,9,9,2,0,3,3,2.42857142857143,3,2.39130434782609,3,4,2.5,2.68965517241379,4,3,3.08333333333333,2.45161290322581,3,3,2,3,2,2,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , ,2.33333333333333, , ,2.66666666666667,2.70496894409938,3.0632183908046,3.54166666666667,2.33333333333333,2.62770676691729,2.7258064516129,2.66666666666667
Rhade,74,KA,9,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,4,2,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,3.171875,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.57218070652174,2.5632183908046,3.12760416666667,2.67070127939693,2.62770676691729,2.60775089605735,2.36306818181818
Burmese,71,KA,9,2,9,2,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2,2.42857142857143,2,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,4,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.4332298136646,2.5632183908046,3.54166666666667,2.67070127939693,2.62770676691729,2.60775089605735,2.36306818181818
Timbira,176,KA,9,2,2,9,9,2,9,9,9,3,3,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2,2,2.984375,2.39130434782609,2,2.5,2.5,2.68965517241379,3,3,3.08333333333333,2,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , ,2.5, ,2.34391983695652,2.5632183908046,3.04166666666667,2.67070127939693,2.62770676691729,2.5,2.36306818181818
Basseri,58,KA,2,3,3,4,4,9,9,4,3,9,9,9,9,9,9,1,1,9,9,4,4,9,9,9,9,9,9,9,9,1,1,3,2,0,2,3,3,4,4,2.91304347826087,2.5,4,3,3.171875,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,1,1,2.92307692307692,2.325,4,4,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,3.47826086956522,3.16666666666667,3.12760416666667,2.14896214896215,2.85928571428571,2.60775089605735,1.84791666666667
Havasupai,150,KA,2,9,2,4,9,3,9,3,3,3,4,9,9,9,9,2,3,9,9,9,2,9,9,9,9,9,4,4,4,9,9,9,2,0,2,2.6,2,4,2.39130434782609,3,2.5,3,3,3,4,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2,3,2.92307692307692,2.325,2.625,2,2.875,2.14285714285714,2.17857142857143,3.1,1.5,4,4, , , , , , , ,2.84782608695652,2.83333333333333,3.04166666666667,2.48229548229548,2.45928571428571,3.2258064516129,2.51458333333333
Yukaghir,120,EC,3,3,1,2,9,9,9,3,9,2,3,3,2,3,4,9,3,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,2,0,3,3,1,2,2.39130434782609,2.91304347826087,2.5,3,2.68965517241379,2,3,3,2,3,4,2.56521739130435,3,2.92307692307692,2.325,2.625,2,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , ,2.5, , ,2.5, ,2.07608695652174,2.72988505747126,2.5,2.82943143812709,2.45928571428571,2.5,3.10833333333333
Comanche,147,EC,3,4,2,9,3,9,3,1,9,3,4,4,4,2,2,3,3,9,9,9,3,3,1,1,9,9,2,4,9,9,2,9,2,0,3,4,2,2.984375,3,2.91304347826087,3,1,2.68965517241379,3,4,4,4,2,2,3,3,2.92307692307692,2.325,2.625,3,3,1,1,3.1,1.5,2,4, , ,3.5, , ,4, ,2.72435461956522,2.22988505747126,3.5,2.64102564102564,2.22,4,2.44166666666667
Jivaro,169,EC,1,4,1,4,1,1,1,1,9,9,4,2,2,2,2,9,4,9,3,9,9,9,9,9,9,1,9,2,9,9,9,2,2,0,1,4,1,4,1,1,1,1,2.68965517241379,3.171875,4,2,2,2,2,2.56521739130435,4,2.92307692307692,3,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1,2.76470588235294,2,1.75, , , , ,3,3,1.75,1.5632183908046,2.5859375,2.49609810479376,2.62770676691729,3,3
Yanomamo,163,KA,9,9,9,9,9,9,9,9,9,9,3,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2.6,2.42857142857143,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,3.171875,3,3.08333333333333,2.45161290322581,2.52380952380952,2,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.6793235636646,2.5632183908046,3.12760416666667,2.67070127939693,2.62770676691729,2.7258064516129,2.29015151515152
Burusho,64,KA,9,2,9,1,9,2,9,9,1,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,2,0,2.53225806451613,2,2.42857142857143,1,2.39130434782609,2,2.5,2.5,1,3.171875,3,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,1.95496894409938,2,3.12760416666667,2.67070127939693,2.62770676691729,2.7258064516129,2.36306818181818
Taureg,41,DG,1,9,2,9,2,9,3,9,9,9,3,1,3,9,9,9,9,9,9,9,2,9,9,9,9,9,9,4,2,9,9,9,2,0,1,2.6,2,2.984375,2,2.91304347826087,3,2.5,2.68965517241379,3.171875,3,1,3,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,4, , , , , ,3, ,2.47435461956522,2.72988505747126,2.0859375,2.67070127939693,2.45928571428571,3,2.36306818181818
Shavante,179,KA,2,3,9,2,1,1,1,1,1,1,4,1,4,9,9,1,4,9,3,1,9,9,2,9,9,9,2,4,1,1,1,1,2,0,2,3,2.42857142857143,2,1,1,1,1,1,1,4,1,4,2.52380952380952,2.21875,1,4,2.92307692307692,3,1,2.84210526315789,2.875,2,2.17857142857143,3.1,1.5,2,4, ,1,1, , ,4, ,1.60714285714286,1,1,2.14896214896215,2.59913533834586,4,3.07291666666667
Kurds,57,KA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2.6,2.42857142857143,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,3.171875,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.6793235636646,2.5632183908046,3.12760416666667,2.67070127939693,2.62770676691729,2.60775089605735,2.36306818181818
Yapese,110,KA,9,9,9,9,9,9,9,9,9,9,3,9,2,9,9,9,3,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2.6,2.42857142857143,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,3.171875,3,3.08333333333333,2,2.52380952380952,2.21875,2.56521739130435,3,2.92307692307692,2,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , ,2.5, ,2.6793235636646,2.5632183908046,3.12760416666667,2.67070127939693,2.62770676691729,2.5,2.40625
Teda,40,KA,1,4,3,2,2,9,9,1,1,9,4,9,3,9,9,9,9,9,2,9,2,9,9,9,9,9,9,2,9,9,9,9,2,0,1,4,3,2,2,2.91304347826087,2.5,1,1,3.171875,4,3.08333333333333,3,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2,2.625,2,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2, , , , , ,3.5, ,2.47826086956522,1.5,3.12760416666667,2.67070127939693,2.45928571428571,3.5,2.25473484848485
Vietnamese,73,KA,2,9,9,3,9,3,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2,2.6,2.42857142857143,3,2.39130434782609,3,2.5,2.5,3,3.171875,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.70496894409938,2.66666666666667,3.12760416666667,2.67070127939693,2.62770676691729,2.60775089605735,2.36306818181818
Kikuyu,11,KA,2,9,2,2,9,9,9,9,2,2,4,2,4,9,2,2,4,2,3,9,2,9,9,9,9,9,9,9,9,9,9,9,2,0,2,2.6,2,2,2.39130434782609,2.91304347826087,2.5,2.5,2,2,4,2,4,2.52380952380952,2,2,4,2,3,2.625,2,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , ,2, , ,4,3,2.32608695652174,2.33333333333333,2,2.17460317460317,2.45928571428571,4,3
Omaha,143,DG,9,3,9,9,2,9,1,9,9,2,4,2,4,1,4,2,4,2,4,1,9,9,9,1,1,1,1,4,1,1,9,9,2,0,2.53225806451613,3,2.42857142857143,2.984375,2,2.91304347826087,1,2.5,2.68965517241379,2,4,2,4,1,4,2,4,2,4,1,2.84210526315789,2.875,2.14285714285714,1,1,1,1,4, , ,2,1.66666666666667, ,4,4,2.58149747670807,2.0632183908046,2,1.66666666666667,1.97199248120301,4,4
Natchez,146,BM,9,9,1,1,1,1,1,1,1,1,4,9,4,2,9,3,3,2,4,4,9,9,9,9,9,0,9,4,9,9,9,9,2,0,2.53225806451613,2.6,1,1,1,1,1,1,1,1,4,3.08333333333333,4,2,2.21875,3,3,2,4,4,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,0,2.76470588235294,4,1,1, ,2.33333333333333, ,4, ,1,1,2.04166666666667,2.33333333333333,2.62770676691729,4,3.07291666666667
